ModeNum,Period,Frequency
1,6.649548971676251,0.15038613961029526
2,5.793603973119123,0.17260413460080298
3,5.343268660861039,0.18715136061282298
4,2.142471131852661,0.4667507464314206
5,1.751838503592409,0.5708288737514042
6,1.6851711729690158,0.5934115275887089
7,1.1502860573357765,0.8693489707387569
8,0.8993113973014432,1.1119618888414984
9,0.8576144769183035,1.166025092758853
10,0.7309953195036683,1.3679978151966565
11,0.5651909824465305,1.7693134375062403
12,0.5270138494270138,1.8974833414477281
13,0.5111534214339751,1.9563597895806482
14,0.39254810449509153,2.5474584861038454
15,0.38060141827372923,2.6274205822343997
