Mode_1,Mode_2,Mode_3,Mode_4,Mode_5,Mode_6,Mode_7,Mode_8,Mode_9,Mode_10,Mode_11,Mode_12,Mode_13,Mode_14,Mode_15
2.1994227587616928e-05,8.214025370496355e-07,3.959227806574087e-06,-7.703494826213897e-05,7.42282427121129e-07,1.2041121608424758e-05,-0.0001564427682797602,-1.1270840037638016e-05,2.259556687634315e-05,0.0002578873368742138,3.9507004769484666e-05,-4.555097180152129e-05,-0.0003840709403178478,-0.0001211904217876882,0.0005111143573664276
5.461185609365365e-07,-1.604829541992054e-05,-2.0315100566353315e-06,-1.802152986786764e-06,6.544825147140536e-05,-2.550837668266343e-05,-4.390954973686625e-06,-0.00011330433268251813,-0.00011505898903211633,6.867377503234447e-06,0.00012350721498832423,0.00021820301777614577,-1.5641418272679328e-05,-0.0001185792859314574,-1.0714706997682166e-05
-6.447733618980976e-11,-8.958839245962539e-11,7.676088790102882e-10,2.472425498409589e-10,1.187239301792395e-09,2.6557352722238043e-09,4.710186979748618e-10,-4.484954660439667e-09,4.258811676142782e-09,-6.31367537616784e-10,8.96162151308046e-09,-5.079116175481798e-09,1.2916843991018107e-09,-1.3380673480351302e-08,-3.813501945621057e-09
5.8175475328444876e-05,2.141135118787304e-06,9.8491375634008e-06,-0.00019960952195681106,1.4460986923562764e-06,2.8583543070910142e-05,-0.0003957167665835003,-2.5292961857556156e-05,5.146063327283558e-05,0.0006330529679767286,8.827827485796364e-05,-0.0001023355292537004,-0.0009136378481145646,-0.00026915655872428076,0.001175807092133205
1.4565770660106432e-06,-4.2516736574507304e-05,-5.151664410888121e-06,-4.71830655301438e-06,0.0001666679190788338,-6.421315180841132e-05,-1.1314225565214297e-05,-0.00027897726362787997,-0.0002815864302388326,1.7396858378171444e-05,0.0002931093279781722,0.0005143161119508231,-3.81365595356387e-05,-0.0002722857763699467,-2.2671307656081475e-05
-1.7487909723235378e-10,-2.2983265031672023e-10,1.97806740805783e-09,6.586186239315343e-10,2.962492175390735e-09,6.653758046513238e-09,1.2430616854632795e-09,-1.0881819332603818e-08,1.0392159677986829e-08,-1.6658592390568069e-09,2.106898312987563e-08,-1.2014337059933576e-08,3.255067057658919e-09,-3.041206261069814e-08,-8.952423196366747e-09
0.00010684132993486043,3.933593356445238e-06,1.7461445247352985e-05,-0.0003596663542628823,2.0389762337223484e-06,4.895581550172007e-05,-0.0006962263963348906,-4.108208361914126e-05,8.485846053930102e-05,0.0010795045760720382,0.00014080534552786728,-0.00016404858413248866,-0.0015037936205996613,-0.0004179751099481065,0.0018582232599329098
2.732912320226874e-06,-7.895862153403981e-05,-9.657839426544653e-06,-8.706592426657289e-06,0.0002994482550350309,-0.0001158377940866043,-2.0415984087973975e-05,-0.0004852473357929365,-0.0004914442870535,3.0572158170403456e-05,0.0004901521024679794,0.000864468593539919,-6.480509989795802e-05,-0.00043729232843923847,-3.491741874614125e-05
-3.300820409694166e-10,-4.159825837982825e-10,3.597811696402613e-09,1.220085293171284e-09,5.243321052274109e-09,1.18120579997676e-08,2.2704844631232733e-09,-1.8757129938769244e-08,1.7989381623436292e-08,-3.006936759646087e-09,3.517966650430687e-08,-2.0150547813176396e-08,5.6470605255888565e-09,-4.8956213666210686e-08,-1.4664674769848067e-08
0.0001656033025163415,6.056546487166534e-06,2.6259434615024732e-05,-0.0005469086700294148,2.5983902226437555e-06,7.160403133157733e-05,-0.0010315996978812311,-5.7367137503009475e-05,0.00011970822085325594,0.0015438443301511878,0.00019048855712303428,-0.00022234223056142116,-0.002060750798889171,-0.0005401183734070576,0.0024173452746030265
