time,UX,UY,UZ,RX,RY,RZ
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12015331563074484,0.22146841928979044,-0.10065352288099291,-0.007043955587923842,1.5898902936640726e-06,8.831932836366636e-07,2.9616626243299798e-08
0.24030663126148968,1.0870276506234928,-0.47613751068701426,-0.03402281426712295,6.030566294325756e-06,1.5488180192738205e-06,3.2958800355240046e-07
0.36045994689223454,2.7955304015059563,-1.146614856970905,-0.07953030601693231,1.2766886575842488e-05,3.548128220582097e-07,1.4149572969012711e-06
0.48061326252297937,5.405765030601165,-2.005553675246828,-0.12436672294157244,2.0301738713701328e-05,-2.1661032948510705e-07,3.585485588284422e-06
0.6007665781537243,9.026365122908523,-2.9612450468319267,-0.14975681652758382,2.8746876560185065e-05,2.064519590668438e-06,6.660811458427605e-06
0.7209198937844691,13.728532111914026,-3.9003454675105944,-0.14239387131157097,3.997213939430175e-05,7.84087745976503e-06,1.0465571984922915e-05
0.8410732094152139,19.593289386205683,-4.624157084288876,-0.08143492023005627,5.0726095284202785e-05,1.647937211654302e-05,1.4577234254566184e-05
0.9612265250459587,26.834632747850172,-4.916562881246852,0.06987244226258954,5.685570406650177e-05,2.9446812546140417e-05,1.7624965834692042e-05
1.0813798406767037,35.78551010044457,-4.644256270120554,0.35435014055028086,5.6522905964251154e-05,5.52603560482793e-05,1.8060067560201604e-05
1.2015331563074485,46.56093477104147,-3.8074834647023352,0.7886689923530769,4.720275899064744e-05,0.0001026503396237484,1.6182263248408297e-05
1.3216864719381933,58.66656315321606,-2.59350973407763,1.3287186736176722,3.275063357503971e-05,0.00016551965109157273,1.6454628943344998e-05
1.4418397875689382,71.18663528414939,-1.269562452583282,1.8923196363733226,2.041755881949883e-05,0.00022491141900357012,2.52559729767896e-05
1.561993103199683,83.49494907596753,0.021512100264885037,2.4319452755791913,1.0801307549558385e-05,0.0002734713769978956,4.260453962026388e-05
1.6821464188304278,95.44627438070364,1.2608659782734946,2.949335741433389,1.9039014442911848e-06,0.000322841828353587,6.072126450347915e-05
1.8022997344611726,106.75930833540534,2.4304565115462493,3.430842996222283,-5.4612365503067015e-06,0.00037582676395062813,7.436037783197778e-05
1.9224530500919175,116.81869823294404,3.4811107091967943,3.8273971467507755,-1.0871638221986556e-05,0.00041499959509890016,8.740358719326491e-05
