name,x,y,z
1,4867.0,126298.0,0.0
2,16867.0,126298.0,0.0
3,4867.0,106698.0,0.0
4,4867.0,87098.0,0.0
5,16867.0,87098.0,0.0
6,29367.0,87098.0,0.0
7,40167.0,87098.0,0.0
8,4867.0,114848.0,0.0
9,4867.0,98548.0,0.0
10,40167.0,126298.0,0.0
11,84067.0,114848.0,0.0
12,84067.0,106698.0,0.0
13,84067.0,98548.0,0.0
14,84067.0,87098.0,0.0
15,84067.0,126298.0,0.0
16,29367.0,126298.0,0.0
17,58767.0,126298.0,0.0
18,58767.0,87098.0,0.0
19,47967.0,126298.0,0.0
20,47967.0,87098.0,0.0
21,71267.0,126298.0,0.0
22,71267.0,87098.0,0.0
23,40167.0,114848.0,0.0
24,47967.0,114848.0,0.0
25,47967.0,98548.0,0.0
26,40167.0,98548.0,0.0
27,16867.0,114848.0,0.0
28,17867.0,114848.0,0.0
29,19967.0,114848.0,0.0
30,22567.0,114848.0,0.0
31,26367.0,114848.0,0.0
32,27767.0,114848.0,0.0
33,26367.0,110448.0,0.0
34,26367.0,113448.0,0.0
35,27767.0,113448.0,0.0
36,19967.0,108798.0,0.0
37,19967.0,109893.0,0.0
38,16867.0,110198.0,0.0
39,16867.0,113648.0,0.0
40,27367.0,110448.0,0.0
41,22567.0,108798.0,0.0
42,22567.0,109893.0,0.0
43,16867.0,106698.0,0.0
44,16867.0,107148.0,0.0
45,22567.0,106298.0,0.0
46,22567.0,107148.0,0.0
47,26367.0,106298.0,0.0
48,26367.0,107148.0,0.0
49,16867.0,101048.0,0.0
50,16867.0,98548.0,0.0
51,18767.0,101048.0,0.0
52,19967.0,98548.0,0.0
53,19967.0,101048.0,0.0
54,22567.0,98548.0,0.0
55,22567.0,99593.0,0.0
56,26367.0,98548.0,0.0
57,26367.0,99593.0,0.0
58,18417.0,98548.0,0.0
59,29367.0,98548.0,0.0
61,29367.0,114848.0,0.0
62,17767.0,107148.0,0.0
63,19967.0,106298.0,0.0
64,19967.0,107148.0,0.0
65,19967.0,113648.0,0.0
66,22567.0,113648.0,0.0
67,19967.0,101548.0,0.0
68,29367.0,113448.0,0.0
69,29367.0,110448.0,0.0
70,29367.0,107148.0,0.0
71,29367.0,104348.0,0.0
72,29367.0,101548.0,0.0
73,68167.0,101048.0,0.0
74,69367.0,101048.0,0.0
75,58767.0,114848.0,0.0
76,60367.0,114848.0,0.0
77,68167.0,114848.0,0.0
78,68917.0,114848.0,0.0
79,68167.0,113648.0,0.0
80,71267.0,113648.0,0.0
81,71267.0,114848.0,0.0
82,70267.0,114848.0,0.0
83,69717.0,98548.0,0.0
84,71267.0,98548.0,0.0
85,58767.0,98548.0,0.0
86,61767.0,98548.0,0.0
87,61767.0,99593.0,0.0
88,65567.0,98548.0,0.0
89,65567.0,99593.0,0.0
90,68167.0,98548.0,0.0
91,68167.0,101548.0,0.0
92,71267.0,101048.0,0.0
93,71267.0,106698.0,0.0
94,58767.0,107148.0,0.0
95,61767.0,107148.0,0.0
96,61767.0,106298.0,0.0
97,65567.0,106298.0,0.0
98,65567.0,107148.0,0.0
99,70367.0,107148.0,0.0
100,71267.0,107148.0,0.0
101,65567.0,108798.0,0.0
102,65567.0,109893.0,0.0
103,68167.0,108798.0,0.0
104,68167.0,109893.0,0.0
105,58767.0,110448.0,0.0
106,58767.0,113448.0,0.0
107,60767.0,110448.0,0.0
108,61767.0,110448.0,0.0
109,60367.0,113448.0,0.0
