file,folder,mean_UX,mean_UY,mean_UZ,mean_RX,mean_RY,mean_RZ,std_UX,std_UY,std_UZ,std_RX,std_RY,std_RZ,new_mean_UX,new_mean_UY,new_mean_UZ,new_mean_RX,new_mean_RY,new_mean_RZ
20250714_085402_126_acce.csv,Model2_10yr_000,-0.0,0.01,0.0,0.0,0.0,-0.0,25.4,36.73,0.0,0.0,0.0,0.0,88.89999999999999,128.56499999999997,0.0,0.0,0.0,0.0
20250714_085402_54000062_acce.csv,Model2_10yr_000,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,23.92,36.33,1.8,0.0,0.0,0.0,83.72,127.165,6.3,0.0,0.0,0.0
20250714_085403_54000070_acce.csv,Model2_10yr_000,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,23.92,37.61,1.82,0.0,0.0,0.0,83.72,131.64499999999998,6.37,0.0,0.0,0.0
20250714_085403_54000071_acce.csv,Model2_10yr_000,-0.0,0.01,0.0,-0.0,-0.0,-0.0,27.49,36.33,1.81,0.0,0.0,0.0,96.21499999999999,127.165,6.335,0.0,0.0,0.0
20250714_085403_54000079_acce.csv,Model2_10yr_000,-0.0,0.01,0.0,-0.0,-0.0,-0.0,27.49,37.61,1.85,0.0,0.0,0.0,96.21499999999999,131.64499999999998,6.4750000000000005,0.0,0.0,0.0
20250714_085655_126_acce.csv,Model2_10yr_005,-0.0,0.0,0.0,0.0,0.0,0.0,21.97,40.03,0.0,0.0,0.0,0.0,76.895,140.10500000000002,0.0,0.0,0.0,0.0
20250714_085655_54000062_acce.csv,Model2_10yr_005,-0.0,0.0,-0.0,-0.0,0.0,0.0,20.72,39.54,1.85,0.0,0.0,0.0,72.52,138.39,6.4750000000000005,0.0,0.0,0.0
20250714_085655_54000070_acce.csv,Model2_10yr_005,-0.0,0.0,-0.0,-0.0,0.0,0.0,20.72,40.96,1.9,0.0,0.0,0.0,72.52,143.36,6.6499999999999995,0.0,0.0,0.0
20250714_085656_54000071_acce.csv,Model2_10yr_005,-0.0,0.0,0.0,-0.0,0.0,0.0,23.94,39.54,1.89,0.0,0.0,0.0,83.79,138.39,6.614999999999999,0.0,0.0,0.0
20250714_085656_54000079_acce.csv,Model2_10yr_005,-0.0,0.0,0.0,-0.0,0.0,0.0,23.94,40.96,1.91,0.0,0.0,0.0,83.79,143.36,6.685,0.0,0.0,0.0
20250714_085929_126_acce.csv,Model2_10yr_010,0.01,-0.01,0.0,0.0,0.0,0.0,20.02,33.11,0.0,0.0,0.0,0.0,70.08,115.87499999999999,0.0,0.0,0.0,0.0
20250714_085930_54000062_acce.csv,Model2_10yr_010,0.01,-0.01,0.0,0.0,0.0,0.0,19.07,32.99,1.6,0.0,0.0,0.0,66.75500000000001,115.455,5.6000000000000005,0.0,0.0,0.0
20250714_085930_54000070_acce.csv,Model2_10yr_010,0.01,-0.01,0.0,0.0,0.0,0.0,19.07,33.75,1.65,0.0,0.0,0.0,66.75500000000001,118.115,5.7749999999999995,0.0,0.0,0.0
20250714_085930_54000071_acce.csv,Model2_10yr_010,0.01,-0.01,-0.0,0.0,0.0,0.0,21.74,32.99,1.65,0.0,0.0,0.0,76.1,115.455,5.7749999999999995,0.0,0.0,0.0
20250714_085931_54000079_acce.csv,Model2_10yr_010,0.01,-0.01,-0.0,0.0,0.0,0.0,21.74,33.75,1.64,0.0,0.0,0.0,76.1,118.115,5.739999999999999,0.0,0.0,0.0
20250714_090204_126_acce.csv,Model2_10yr_015,0.0,-0.01,0.0,0.0,0.0,0.0,19.36,33.43,0.0,0.0,0.0,0.0,67.75999999999999,116.99499999999999,0.0,0.0,0.0,0.0
20250714_090204_54000062_acce.csv,Model2_10yr_015,0.0,-0.01,0.0,0.0,0.0,0.0,18.35,33.32,1.64,0.0,0.0,0.0,64.22500000000001,116.61,5.739999999999999,0.0,0.0,0.0
20250714_090205_54000070_acce.csv,Model2_10yr_015,0.0,-0.01,0.0,0.0,0.0,0.0,18.35,33.98,1.58,0.0,0.0,0.0,64.22500000000001,118.91999999999999,5.53,0.0,0.0,0.0
20250714_090205_54000071_acce.csv,Model2_10yr_015,0.0,-0.01,-0.0,0.0,0.0,0.0,21.06,33.32,1.58,0.0,0.0,0.0,73.71,116.61,5.53,0.0,0.0,0.0
20250714_090205_54000079_acce.csv,Model2_10yr_015,0.0,-0.01,-0.0,0.0,0.0,0.0,21.06,33.98,1.68,0.0,0.0,0.0,73.71,118.91999999999999,5.88,0.0,0.0,0.0
20250714_090444_126_acce.csv,Model2_10yr_020,-0.01,0.0,0.0,0.0,0.0,-0.0,19.22,26.95,0.0,0.0,0.0,0.0,67.25999999999999,94.325,0.0,0.0,0.0,0.0
20250714_090444_54000062_acce.csv,Model2_10yr_020,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,18.14,26.93,1.41,0.0,0.0,0.0,63.480000000000004,94.255,4.935,0.0,0.0,0.0
20250714_090445_54000070_acce.csv,Model2_10yr_020,-0.01,0.0,0.0,-0.0,-0.0,-0.0,18.14,27.34,1.31,0.0,0.0,0.0,63.480000000000004,95.69,4.585,0.0,0.0,0.0
20250714_090445_54000071_acce.csv,Model2_10yr_020,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,20.76,26.93,1.3,0.0,0.0,0.0,72.65,94.255,4.55,0.0,0.0,0.0
20250714_090445_54000079_acce.csv,Model2_10yr_020,-0.01,0.0,0.0,-0.0,-0.0,-0.0,20.76,27.34,1.44,0.0,0.0,0.0,72.65,95.69,5.04,0.0,0.0,0.0
20250714_090725_126_acce.csv,Model2_10yr_025,-0.0,-0.0,0.0,0.0,0.0,-0.0,17.97,22.96,0.0,0.0,0.0,0.0,62.894999999999996,80.36,0.0,0.0,0.0,0.0
20250714_090725_54000062_acce.csv,Model2_10yr_025,-0.0,-0.0,-0.0,0.0,0.0,-0.0,16.96,22.91,1.23,0.0,0.0,0.0,59.36,80.185,4.305,0.0,0.0,0.0
20250714_090725_54000070_acce.csv,Model2_10yr_025,-0.0,-0.0,0.0,0.0,0.0,-0.0,16.96,23.34,1.14,0.0,0.0,0.0,59.36,81.69,3.9899999999999998,0.0,0.0,0.0
20250714_090726_54000071_acce.csv,Model2_10yr_025,-0.0,-0.0,-0.0,0.0,0.0,-0.0,19.35,22.91,1.13,0.0,0.0,0.0,67.72500000000001,80.185,3.9549999999999996,0.0,0.0,0.0
20250714_090726_54000079_acce.csv,Model2_10yr_025,-0.0,-0.0,0.0,0.0,0.0,-0.0,19.35,23.34,1.27,0.0,0.0,0.0,67.72500000000001,81.69,4.445,0.0,0.0,0.0
