FLOOR_LEVEL,MASS_X,MASS_Y,MASS_Z,MASS_R1,MASS_R2,MASS_R3
6000,5774.850000000003,5774.850000000003,0.0,0.0,0.0,4031294.1636463567
10500,5204.781000000001,5204.781000000001,0.0,0.0,0.0,3648464.5531635885
15000,5204.781000000001,5204.781000000001,0.0,0.0,0.0,3648464.5531635885
19500,5204.781000000001,5204.781000000001,0.0,0.0,0.0,3648464.5531635885
23100,4498.062,4498.062,0.0,0.0,0.0,3231553.6919249687
26700,4498.062,4498.062,0.0,0.0,0.0,3231553.6919249687
30300,4498.062,4498.062,0.0,0.0,0.0,3231553.6919249687
33900,4498.072000000001,4498.072000000001,0.0,0.0,0.0,3231561.3070622636
37500,4498.062,4498.062,0.0,0.0,0.0,3231553.6919249687
41100,4498.062,4498.062,0.0,0.0,0.0,3231553.6919249687
44700,4498.072000000001,4498.072000000001,0.0,0.0,0.0,3231561.3070622636
48300,4498.062,4498.062,0.0,0.0,0.0,3231553.6919249687
51900,4498.072000000001,4498.072000000001,0.0,0.0,0.0,3231561.3070622636
55500,4498.062,4498.062,0.0,0.0,0.0,3231553.6919249687
59100,4498.062,4498.062,0.0,0.0,0.0,3231553.6919249687
62700,4241.655,4241.655,0.0,0.0,0.0,3064460.48034777
66300,4241.646999999999,4241.646999999999,0.0,0.0,0.0,3064454.2823038152
69900,4241.646999999999,4241.646999999999,0.0,0.0,0.0,3064454.2823038152
73500,4241.646999999999,4241.646999999999,0.0,0.0,0.0,3064454.2823038152
77100,4241.646999999999,4241.646999999999,0.0,0.0,0.0,3064454.2823038152
80700,4241.646999999999,4241.646999999999,0.0,0.0,0.0,3064454.2823038152
84300,4241.655,4241.655,0.0,0.0,0.0,3064460.48034777
87900,4241.646999999999,4241.646999999999,0.0,0.0,0.0,3064454.2823038152
91500,4241.646999999999,4241.646999999999,0.0,0.0,0.0,3064454.2823038152
95100,4241.646999999999,4241.646999999999,0.0,0.0,0.0,3064454.2823038152
98700,4241.646999999999,4241.646999999999,0.0,0.0,0.0,3064427.109460897
102300,4040.8570000000004,4040.8570000000004,0.0,0.0,0.0,2891496.609302132
105900,4040.849,4040.849,0.0,0.0,0.0,2891490.3736954345
109500,4040.849,4040.849,0.0,0.0,0.0,2891490.3736954345
113100,4040.849,4040.849,0.0,0.0,0.0,2891490.3736954345
116700,4040.849,4040.849,0.0,0.0,0.0,2891490.3736954345
120300,4040.8570000000004,4040.8570000000004,0.0,0.0,0.0,2891496.609302132
123900,4040.849,4040.849,0.0,0.0,0.0,2891490.3736954345
127500,4040.849,4040.849,0.0,0.0,0.0,2891490.3736954345
131100,4040.849,4040.849,0.0,0.0,0.0,2891490.3736954345
134700,4040.849,4040.849,0.0,0.0,0.0,2891490.3736954345
138300,4040.8570000000004,4040.8570000000004,0.0,0.0,0.0,2891496.609302132
141900,4040.849,4040.849,0.0,0.0,0.0,2891490.3736954345
145500,3812.0319999999997,3812.0319999999997,0.0,0.0,0.0,2734327.590166165
149100,3812.0269999999996,3812.0269999999996,0.0,0.0,0.0,2734323.658927927
152700,3812.0269999999996,3812.0269999999996,0.0,0.0,0.0,2734323.658927927
156300,3812.0319999999997,3812.0319999999997,0.0,0.0,0.0,2734327.590166165
159900,3812.0269999999996,3812.0269999999996,0.0,0.0,0.0,2734323.658927927
163500,3812.0319999999997,3812.0319999999997,0.0,0.0,0.0,2734327.590166165
167100,3812.0269999999996,3812.0269999999996,0.0,0.0,0.0,2734323.658927927
170700,3812.0269999999996,3812.0269999999996,0.0,0.0,0.0,2734323.658927927
174300,3812.0319999999997,3812.0319999999997,0.0,0.0,0.0,2734327.590166165
177900,3740.609,3740.609,0.0,0.0,0.0,2680750.8393764575
181500,3740.615,3740.615,0.0,0.0,0.0,2680755.441730226
185100,3740.609,3740.609,0.0,0.0,0.0,2680750.8393764575
188700,3740.609,3740.609,0.0,0.0,0.0,2680750.8393764575
192300,3740.615,3740.615,0.0,0.0,0.0,2680755.441730226
196150,3792.1369999999997,3792.1369999999997,0.0,0.0,0.0,2712900.2879140656
200000,3792.1369999999997,3792.1369999999997,0.0,0.0,0.0,2712900.2879140656
