name,x,y,z
1,4867.0,126298.0,0.0
2,16867.0,126298.0,0.0
3,4867.0,106698.0,0.0
4,4867.0,87098.0,0.0
5,16867.0,87098.0,0.0
6,30067.0,87098.0,0.0
7,41507.0,87098.0,0.0
8,4867.0,114848.0,0.0
9,4867.0,98548.0,0.0
10,41507.0,126298.0,0.0
11,124067.0,114848.0,0.0
12,124067.0,106698.0,0.0
13,124067.0,98548.0,0.0
14,124067.0,87098.0,0.0
15,124067.0,126298.0,0.0
16,30067.0,126298.0,0.0
17,52947.0,126298.0,0.0
18,52947.0,87098.0,0.0
19,63747.0,126298.0,0.0
20,63747.0,87098.0,0.0
21,98067.0,126298.0,0.0
22,98067.0,87098.0,0.0
23,86627.0,126298.0,0.0
24,86627.0,87098.0,0.0
25,111267.0,126298.0,0.0
26,111267.0,87098.0,0.0
27,75187.0,126298.0,0.0
28,75187.0,87098.0,0.0
29,41507.0,114848.0,0.0
30,41507.0,98548.0,0.0
31,75187.0,114848.0,0.0
32,86627.0,114848.0,0.0
33,86627.0,98548.0,0.0
34,75187.0,98548.0,0.0
35,16867.0,114848.0,0.0
36,17867.0,114848.0,0.0
37,20667.0,114848.0,0.0
38,23267.0,114848.0,0.0
39,27067.0,114848.0,0.0
40,28467.0,114848.0,0.0
41,27067.0,110448.0,0.0
42,27067.0,113448.0,0.0
43,28467.0,113448.0,0.0
44,20667.0,108798.0,0.0
45,20667.0,109893.0,0.0
46,16867.0,110198.0,0.0
47,16867.0,113648.0,0.0
48,28067.0,110448.0,0.0
49,23267.0,108798.0,0.0
50,23267.0,109893.0,0.0
51,16867.0,106698.0,0.0
52,16867.0,107148.0,0.0
53,20167.0,107098.0,0.0
54,20667.0,107123.0,0.0
55,23267.0,107148.0,0.0
56,23267.0,106298.0,0.0
57,27067.0,106298.0,0.0
58,27067.0,107148.0,0.0
59,16867.0,101048.0,0.0
60,16867.0,103698.0,0.0
61,16867.0,98548.0,0.0
62,17767.0,101048.0,0.0
63,19467.0,101048.0,0.0
64,20667.0,98548.0,0.0
65,20667.0,101048.0,0.0
66,23267.0,98548.0,0.0
67,23267.0,99593.0,0.0
68,27067.0,98548.0,0.0
69,27067.0,99593.0,0.0
70,18417.0,98548.0,0.0
71,30067.0,98548.0,0.0
72,19917.0,114848.0,0.0
73,30067.0,114848.0,0.0
74,17767.0,107148.0,0.0
75,20667.0,106298.0,0.0
76,20667.0,113648.0,0.0
77,23267.0,113648.0,0.0
78,20667.0,101548.0,0.0
79,30067.0,113448.0,0.0
80,30067.0,110448.0,0.0
81,30067.0,101048.0,0.0
82,30067.0,101548.0,0.0
83,30067.0,107148.0,0.0
84,30067.0,104348.0,0.0
85,60347.0,101048.0,0.0
86,60347.0,104348.0,0.0
87,63747.0,110448.0,0.0
88,63747.0,114848.0,0.0
89,60347.0,114848.0,0.0
90,52947.0,103698.0,0.0
91,52947.0,107148.0,0.0
92,52947.0,98548.0,0.0
93,54497.0,98548.0,0.0
94,52947.0,101048.0,0.0
95,53847.0,101048.0,0.0
96,53847.0,107148.0,0.0
97,52947.0,110198.0,0.0
98,52947.0,114848.0,0.0
99,56347.0,114848.0,0.0
100,56347.0,101048.0,0.0
101,56347.0,101548.0,0.0
102,56347.0,98548.0,0.0
103,63747.0,101048.0,0.0
104,63747.0,107148.0,0.0
105,63747.0,98548.0,0.0
106,60347.0,98548.0,0.0
107,111267.0,103698.0,0.0
108,111267.0,106698.0,0.0
