UX,UY,UZ,RX,RY,RZ
0.0,0.0,0.0,0.0,0.0,0.0
0.4335936633485161,0.270060239946587,0.0,0.0,0.0,-5.032835843450441e-07
1.5776584366331046,0.97120347502543,0.0,0.0,0.0,-1.373744097542554e-06
3.3572566211479358,2.172922197546915,0.0,0.0,0.0,-2.038744248360504e-06
5.842509435154978,4.009430352311353,0.0,0.0,0.0,-2.8661113105850166e-06
9.062709998385339,6.460610114335672,0.0,0.0,0.0,-4.8883020307276684e-06
12.876943731319578,9.570998843337913,0.0,0.0,0.0,-2.7358697643174365e-06
17.95663527446533,13.86141687373734,0.0,0.0,0.0,-8.46380063924169e-06
24.560038392132135,19.20968430475542,0.0,0.0,0.0,-2.502468839281964e-05
32.28058976260991,25.117166781175822,0.0,0.0,0.0,-3.3350075269812055e-05
40.56377089245936,31.23402346045045,0.0,0.0,0.0,-2.9505983654179085e-05
49.004618508849084,37.360015501684515,0.0,0.0,0.0,-2.05657136265859e-05
57.21343035315683,43.25572274475728,0.0,0.0,0.0,-9.30969315283394e-06
64.97111823492364,48.753939443457746,0.0,0.0,0.0,6.1173122954492715e-06
72.18877489116306,53.787884717211206,0.0,0.0,0.0,2.3615948107545625e-05
78.84932449037264,58.21230338970801,0.0,0.0,0.0,3.944331048362369e-05
84.68714054915255,62.0765384452795,0.0,0.0,0.0,5.6340528897841206e-05
89.73745005342731,65.37719175588045,0.0,0.0,0.0,7.460930204575488e-05
93.94548103099109,68.00776946925761,0.0,0.0,0.0,8.985555360129018e-05
97.05408090984902,70.07732232920803,0.0,0.0,0.0,0.00011112548498467917
99.08060457194337,71.85088272490817,0.0,0.0,0.0,0.00013525126031934867
100.45664365612754,73.35548173814422,0.0,0.0,0.0,0.00014710680580999803
101.48532172953844,74.3784599036448,0.0,0.0,0.0,0.00014653651631574434
102.15619905489179,74.71031703830953,0.0,0.0,0.0,0.0001411988474588697
102.30281743946244,74.19609744476664,0.0,0.0,0.0,0.00014170267843403752
101.74559424846244,72.713198887188,0.0,0.0,0.0,0.00015676853539016206
100.22202259876897,70.27581756789729,0.0,0.0,0.0,0.00018528409546255696
97.67306691384599,66.96985661072291,0.0,0.0,0.0,0.0002167268538358141
94.17910907882909,62.967198936311966,0.0,0.0,0.0,0.0002404924327229584
89.7290617280405,58.47833004246951,0.0,0.0,0.0,0.0002557344103246518
84.43174934123309,53.64215324557552,0.0,0.0,0.0,0.0002630502929920238
78.5559971031182,48.61134276631612,0.0,0.0,0.0,0.0002574499252808555
72.18235849440215,43.629370873140566,0.0,0.0,0.0,0.00024298327090348492
65.26928824423928,38.97299573779088,0.0,0.0,0.0,0.00022646705501808126
58.00799010489046,34.81846861640574,0.0,0.0,0.0,0.00020631754191889804
50.872635779790656,31.18983871839338,0.0,0.0,0.0,0.0001781442756882271
44.22480260837766,28.05902350876204,0.0,0.0,0.0,0.00013670100844617546
38.24713604334558,25.35017987662514,0.0,0.0,0.0,8.405426484568112e-05
32.98369756552291,23.032931213577108,0.0,0.0,0.0,2.978177576989419e-05
28.32540965746413,21.104270326238513,0.0,0.0,0.0,-1.5269551473947412e-05
24.241864793632384,19.596185274923428,0.0,0.0,0.0,-4.348174616871089e-05
20.80636116623826,18.60846685213277,0.0,0.0,0.0,-5.6716619133769525e-05
17.96951557995959,18.211410194580516,0.0,0.0,0.0,-6.224856746466958e-05
15.596691143174208,18.432244084281837,0.0,0.0,0.0,-6.626495730889844e-05
13.75097691048546,19.324580340268394,0.0,0.0,0.0,-7.724689134087306e-05
12.578754036882591,21.040285717174537,0.0,0.0,0.0,-9.872174579834197e-05
12.02695865290229,23.638281330774593,0.0,0.0,0.0,-0.0001253248855580501
11.913316386135246,27.07498776776009,0.0,0.0,0.0,-0.00014883456158378756
12.23453657704851,31.228166583496016,0.0,0.0,0.0,-0.00016527106025339262
13.171197173936877,35.916434132958805,0.0,0.0,0.0,-0.00017840882045402033
14.911707305405425,40.93619331992615,0.0,0.0,0.0,-0.0001914364148185544
17.50254279246602,46.07841692900491,0.0,0.0,0.0,-0.00020304859367235915
20.80374150634512,51.19895834082429,0.0,0.0,0.0,-0.00020880048619070868
24.625881943349498,56.194165747637214,0.0,0.0,0.0,-0.00020222472196263842
28.872734027323133,61.01831187530274,0.0,0.0,0.0,-0.00018004685303016894
33.45456836925601,65.5947188980035,0.0,0.0,0.0,-0.0001425617151047642
38.176791952084756,69.78398465247096,0.0,0.0,0.0,-8.942062980728282e-05
42.845424169376656,73.50782544707724,0.0,0.0,0.0,-2.553063343698216e-05
47.44244516846868,76.79426541439993,0.0,0.0,0.0,3.6797067022458405e-05
51.95631724318985,79.65511661318212,0.0,0.0,0.0,8.564867700809552e-05
56.22055579076912,82.02469060942138,0.0,0.0,0.0,0.0001203728559578961
60.01850274585288,83.8396289429256,0.0,0.0,0.0,0.00014764330410339677
63.31008368377526,84.9961791194567,0.0,0.0,0.0,0.00017089371979360336
66.22011429498856,85.35416139172604,0.0,0.0,0.0,0.00019015138203137382
68.91270702107967,84.775353024776,0.0,0.0,0.0,0.00020466714048881593
71.4292708041266,83.21914544370773,0.0,0.0,0.0,0.00021453416491397433
73.70080075794657,80.79182991830882,0.0,0.0,0.0,0.00022289936107802258
75.66896676110707,77.64804329920116,0.0,0.0,0.0,0.000232431308675242
77.31496837818503,73.89104214156924,0.0,0.0,0.0,0.0002426581850142099
78.56066072883247,69.54722415610526,0.0,0.0,0.0,0.00025471355236996097
79.2337782307827,64.75139666288207,0.0,0.0,0.0,0.00027052290522173864
