FLOOR_LEVEL,MASS_X,MASS_Y,MASS_Z,MASS_R1,MASS_R2,MASS_R3
6000,2649.1730000000002,2649.1730000000002,0.0,0.0,0.0,702530.4726266636
10500,2790.6139999999996,2790.6139999999996,0.0,0.0,0.0,795681.365956709
15000,2790.6139999999996,2790.6139999999996,0.0,0.0,0.0,795681.365956709
19500,2790.6139999999996,2790.6139999999996,0.0,0.0,0.0,795681.365956709
23100,2473.877,2473.877,0.0,0.0,0.0,723339.8084253524
26700,2473.877,2473.877,0.0,0.0,0.0,723339.8084253524
30300,2473.877,2473.877,0.0,0.0,0.0,723339.8084253524
33900,0.0,0.0,0.0,0.0,0.0,0.0
37500,2473.877,2473.877,0.0,0.0,0.0,723339.8084253524
41100,2473.877,2473.877,0.0,0.0,0.0,723339.8084253524
44700,0.0,0.0,0.0,0.0,0.0,0.0
48300,2473.877,2473.877,0.0,0.0,0.0,723339.8084253524
51900,1.194,1.194,0.0,0.0,0.0,85.98418382197751
55500,2473.877,2473.877,0.0,0.0,0.0,723339.8084253524
59100,2473.877,2473.877,0.0,0.0,0.0,723339.8084253524
62700,2.388,2.388,0.0,0.0,0.0,158.0696995182573
66300,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.4449424483
69900,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.4449424483
73500,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.4449424483
77100,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.4449424483
80700,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.4449424483
84300,0.0,0.0,0.0,0.0,0.0,0.0
87900,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.4449424483
91500,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.4449424483
95100,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.4449424483
98700,2347.566999999999,2347.566999999999,0.0,0.0,0.0,708944.4449424483
102300,1.194,1.194,0.0,0.0,0.0,85.98418382197751
105900,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.6633976753
109500,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.6633976753
113100,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.6633976753
116700,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.6633976753
120300,2.388,2.388,0.0,0.0,0.0,158.0696995182573
123900,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.6633976753
127500,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.6633976753
131100,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.6633976753
134700,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.6633976753
138300,2102.692999999999,2102.692999999999,0.0,0.0,0.0,624751.6633976753
141900,2102.596999999999,2102.596999999999,0.0,0.0,0.0,624745.6688693647
145500,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595956.6543022051
149100,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595956.6543022051
152700,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595956.6543022051
156300,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595956.6543022051
159900,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595956.6543022051
163500,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595956.6543022051
167100,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595956.6543022051
170700,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595956.6543022051
174300,2008.0729999999999,2008.0729999999999,0.0,0.0,0.0,595958.623202072
177900,1976.8950000000007,1976.8950000000007,0.0,0.0,0.0,586406.3075443829
181500,1976.8950000000007,1976.8950000000007,0.0,0.0,0.0,586406.3075443829
185100,1976.8950000000007,1976.8950000000007,0.0,0.0,0.0,586406.3075443829
188700,1976.8950000000007,1976.8950000000007,0.0,0.0,0.0,586406.3075443829
192300,1976.8950000000007,1976.8950000000007,0.0,0.0,0.0,586406.3075443829
196150,1884.4869999999996,1884.4869999999996,0.0,0.0,0.0,585246.2343645251
200000,1884.4869999999996,1884.4869999999996,0.0,0.0,0.0,585246.2343645251
